epoch,loss,mae_metric,psnr_metric,ssim_metric,val_loss,val_mae_metric,val_psnr_metric,val_ssim_metric
7,1.1961983442306519,0.020657675340771675,32.04799270629883,0.9637584686279297,1.0606237649917603,0.015996793285012245,33.87440490722656,0.9696723222732544
8,1.1920502185821533,0.02069069631397724,32.02335739135742,0.9634872674942017,1.0576679706573486,0.01608056016266346,33.82270812988281,0.9697750210762024
9,1.1855649948120117,0.02067248523235321,32.044952392578125,0.9636863470077515,1.0556102991104126,0.01606718823313713,33.853702545166016,0.9697525501251221
10,1.1894702911376953,0.020800650119781494,32.01161193847656,0.9632976651191711,1.054944396018982,0.016022060066461563,33.86996841430664,0.9696366190910339
11,1.1841027736663818,0.02076191082596779,32.03538513183594,0.9635835289955139,1.048852562904358,0.01586608774960041,33.95036697387695,0.9702426791191101
12,1.1849786043167114,0.02076874114573002,32.0230598449707,0.9632697701454163,1.0528841018676758,0.01598442904651165,33.88462829589844,0.9697979688644409
13,1.1817069053649902,0.020673507824540138,32.057472229003906,0.9636613726615906,1.0516352653503418,0.016139401122927666,33.81103515625,0.9696336984634399
14,1.1813939809799194,0.020713506266474724,32.041290283203125,0.9635851383209229,1.051743507385254,0.016031404957175255,33.85179138183594,0.9697777628898621
15,1.1816223859786987,0.020752687007188797,32.03035354614258,0.9633181691169739,1.0528277158737183,0.016017073765397072,33.869991302490234,0.9696112871170044
16,1.1823028326034546,0.02073901891708374,32.03816223144531,0.9634047746658325,1.0526130199432373,0.016082152724266052,33.83732223510742,0.9695479869842529
17,1.1773462295532227,0.02065838873386383,32.05874252319336,0.9637004733085632,1.0478118658065796,0.015976382419466972,33.8962516784668,0.9700687527656555
18,1.1791508197784424,0.020727580413222313,32.03661346435547,0.963444709777832,1.0482431650161743,0.01600523293018341,33.8884391784668,0.9698052406311035
19,1.1767734289169312,0.020661547780036926,32.05842208862305,0.9637632369995117,1.046370029449463,0.01593557931482792,33.916954040527344,0.9699464440345764
