epoch,stage,loss,mae_metric,psnr_metric,ssim_metric,val_loss,val_mae_metric,val_psnr_metric,val_ssim_metric,lr
0,1,23.83673667907715,0.1385439932346344,16.81001091003418,0.6450114250183105,12.256897926330566,0.07641898095607758,21.84840202331543,0.8551897406578064,0.00020017795031890273
1,1,12.476717948913574,0.07812424749135971,21.526134490966797,0.8482670783996582,10.850974082946777,0.06173411384224892,23.171998977661133,0.8899115920066833,0.00040035590063780546
2,1,11.23149299621582,0.06452325731515884,22.9498291015625,0.8674855828285217,10.446029663085938,0.06560804694890976,22.757862091064453,0.8737877607345581,0.0006005337927490473
3,1,10.557408332824707,0.05765523388981819,23.784631729125977,0.8776605129241943,9.324570655822754,0.05156553164124489,24.813852310180664,0.9079005718231201,0.0008007118012756109
4,1,10.026345252990723,0.05296342074871063,24.42715835571289,0.8839651346206665,9.6185941696167,0.050353214144706726,24.866283416748047,0.9027542471885681,0.0010000000474974513
5,1,9.575899124145508,0.04956823214888573,24.970916748046875,0.8897275924682617,10.870757102966309,0.06427547335624695,23.200735092163086,0.8969671130180359,0.0009991759434342384
6,1,9.247386932373047,0.04682566970586777,25.40277099609375,0.8938974142074585,8.174702644348145,0.03747272863984108,26.996156692504883,0.9289367198944092,0.000996720977127552
7,1,8.949031829833984,0.04434674233198166,25.834531784057617,0.8971289992332458,8.31208610534668,0.0403968021273613,26.40768051147461,0.9298520088195801,0.0009926430648192763
8,1,8.746015548706055,0.04278075695037842,26.117345809936523,0.8998844623565674,7.827333450317383,0.036097053438425064,27.537073135375977,0.9387502074241638,0.0009869554778560996
9,1,8.559672355651855,0.04132215678691864,26.400970458984375,0.90263432264328,7.998093128204346,0.03455483168363571,27.72089958190918,0.9350056052207947,0.0009796768426895142
10,1,8.412880897521973,0.0403318852186203,26.622098922729492,0.9042874574661255,7.236196517944336,0.030922817066311836,28.65375328063965,0.9447229504585266,0.0009708311408758163
11,1,8.28647518157959,0.039040952920913696,26.863866806030273,0.9062758088111877,7.915703773498535,0.038604170083999634,27.332780838012695,0.9259486198425293,0.0009604470105841756
12,1,8.144530296325684,0.03779749944806099,27.1080265045166,0.907783567905426,7.894376754760742,0.03665847331285477,27.796274185180664,0.9333637952804565,0.0009485585615038872
13,1,8.025047302246094,0.03656041994690895,27.36334991455078,0.9097737073898315,8.0164794921875,0.036491092294454575,27.49920082092285,0.9337001442909241,0.0009352045599371195
14,1,7.922859191894531,0.035494059324264526,27.59977149963379,0.9111848473548889,7.3391642570495605,0.029650956392288208,28.86980438232422,0.9459154605865479,0.0009204286034218967
15,1,7.839900970458984,0.03480102866888046,27.755151748657227,0.9122190475463867,7.114889621734619,0.030035674571990967,28.906005859375,0.938547670841217,0.000904279004316777
16,1,7.753208160400391,0.03380991891026497,27.975378036499023,0.9139655828475952,7.165493488311768,0.030343860387802124,28.868728637695312,0.9466675519943237,0.0008868086151778698
17,1,7.673625946044922,0.03299417719244957,28.15033531188965,0.9153726100921631,7.300355911254883,0.030602451413869858,28.81015396118164,0.9448109269142151,0.0008680744213052094
18,1,7.606436729431152,0.03255343809723854,28.269838333129883,0.9162728190422058,7.818183898925781,0.036462973803281784,27.481557846069336,0.9380084276199341,0.0008481376571580768
19,1,7.53776216506958,0.03187555447220802,28.462514877319336,0.917174220085144,6.6162261962890625,0.027813611552119255,29.582008361816406,0.9490507245063782,0.000827063515316695
20,1,7.4692702293396,0.03122030571103096,28.61918067932129,0.9183889627456665,6.952401161193848,0.027581406757235527,29.557666778564453,0.9476974606513977,0.0008049207390286028
