epoch,stage,loss,mae_metric,psnr_metric,ssim_metric,val_loss,val_mae_metric,val_psnr_metric,val_ssim_metric,lr
0,3,0.02969173528254032,0.02266702428460121,31.102144241333008,0.9421117901802063,0.025237681344151497,0.021534280851483345,31.74972915649414,0.9554445743560791,4.992294998373836e-05
1,3,0.027943184599280357,0.02204021066427231,31.29279899597168,0.9473376274108887,0.026219816878437996,0.022151552140712738,31.520910263061523,0.9528414607048035,4.9692280299495906e-05
2,3,0.02725018560886383,0.021678846329450607,31.40110969543457,0.9492177963256836,0.02560422383248806,0.021750997751951218,31.662134170532227,0.9546370506286621,4.930941213387996e-05
3,3,0.02702298015356064,0.021571915596723557,31.44611930847168,0.9498084783554077,0.0255911722779274,0.02178003080189228,31.633411407470703,0.9548073410987854,4.877670653513633e-05
4,3,0.026564711704850197,0.02116970531642437,31.564571380615234,0.9507831335067749,0.02477356046438217,0.021141037344932556,31.87256622314453,0.9568458795547485,4.8097459512064233e-05
5,3,0.02650165557861328,0.02118642069399357,31.565595626831055,0.9510174989700317,0.025364549830555916,0.02178860269486904,31.620363235473633,0.9561796188354492,4.7275865654228255e-05
6,3,0.02634451910853386,0.02103421278297901,31.612932205200195,0.9512970447540283,0.025408225134015083,0.02158963866531849,31.722408294677734,0.955208957195282,4.631699630408548e-05
7,3,0.02612120471894741,0.020859474316239357,31.67815589904785,0.951777458190918,0.02534300647675991,0.021705597639083862,31.663698196411133,0.955751359462738,4.522677409113385e-05
8,3,0.026093102991580963,0.020866524428129196,31.67839813232422,0.9518609046936035,0.024624129757285118,0.021116945892572403,31.88858985900879,0.9574621915817261,4.40119365521241e-05
9,3,0.025863535702228546,0.02062888815999031,31.751150131225586,0.9523161053657532,0.024779217317700386,0.02119378000497818,31.852073669433594,0.9568972587585449,4.267998519935645e-05
10,3,0.02589147537946701,0.02066453918814659,31.752838134765625,0.9522720575332642,0.024395426735281944,0.02080310694873333,32.02865219116211,0.9574607610702515,4.123914550291374e-05
11,3,0.025932615622878075,0.020757675170898438,31.71076774597168,0.9523385763168335,0.024768242612481117,0.021381737664341927,31.785093307495117,0.9574446082115173,3.969831595895812e-05
12,3,0.025724418461322784,0.020537197589874268,31.779314041137695,0.952680230140686,0.025504952296614647,0.021876035258173943,31.61267852783203,0.9557768106460571,3.8067009882070124e-05
13,3,0.02555575594305992,0.020309440791606903,31.851322174072266,0.9528114795684814,0.024843191727995872,0.021165695041418076,31.87745475769043,0.9563180208206177,3.6355311749503016e-05
14,3,0.025370288640260696,0.020150182768702507,31.914995193481445,0.9531748294830322,0.02472485974431038,0.021232476457953453,31.86668586730957,0.9571605324745178,3.457378625171259e-05
15,3,0.025964729487895966,0.02094895951449871,31.654035568237305,0.9527093172073364,0.024574389681220055,0.021005162969231606,31.945077896118164,0.9572092294692993,3.2733441912569106e-05
16,3,0.025902610272169113,0.020850863307714462,31.673242568969727,0.9527407884597778,0.024591965600848198,0.02109541743993759,31.90257453918457,0.9574965834617615,3.084564013988711e-05
17,3,0.025757869705557823,0.020695671439170837,31.71445083618164,0.9529494643211365,0.02472558431327343,0.021138064563274384,31.89194679260254,0.956879198551178,2.8922042474732734e-05
18,3,0.02573453262448311,0.020701024681329727,31.722326278686523,0.9530791640281677,0.024377740919589996,0.020814107730984688,32.018226623535156,0.9575786590576172,2.6974530555889942e-05
19,3,0.025768304243683815,0.02076593041419983,31.714176177978516,0.9531064629554749,0.02434537559747696,0.02093345858156681,31.980514526367188,0.9581334590911865,2.501513336028438e-05
20,3,0.025813627988100052,0.02077662944793701,31.70240592956543,0.9529266357421875,0.02482272870838642,0.02127179689705372,31.829626083374023,0.9570034742355347,2.3055950805428438e-05
21,3,0.025710266083478928,0.020732611417770386,31.71768569946289,0.9532784223556519,0.024688884615898132,0.021127795800566673,31.88936996459961,0.9570801854133606,2.1109084627823904e-05
22,3,0.025755872949957848,0.020733889192342758,31.722431182861328,0.9530798196792603,0.02425478957593441,0.02074475772678852,32.045230865478516,0.9579636454582214,1.918655470944941e-05
23,3,0.025696000084280968,0.020670274272561073,31.735580444335938,0.953166127204895,0.024388207122683525,0.020885223522782326,31.98820686340332,0.9578021764755249,1.7300246327067725e-05
24,3,0.02565079741179943,0.020611196756362915,31.756912231445312,0.9532021880149841,0.024735335260629654,0.02138413116335869,31.796001434326172,0.9576850533485413,1.5461795555893332e-05
25,3,0.025644896551966667,0.020616469904780388,31.75425910949707,0.9532262086868286,0.024706274271011353,0.021113988012075424,31.898815155029297,0.9569568634033203,1.368256562273018e-05
26,3,0.02567906305193901,0.02063002623617649,31.74509048461914,0.9531443119049072,0.024370165541768074,0.0208943672478199,31.99480438232422,0.9578508734703064,1.1973545952059794e-05
27,3,0.025575416162610054,0.020554767921566963,31.77301788330078,0.953403651714325,0.024630321189761162,0.02118309773504734,31.87444496154785,0.9574535489082336,1.0345291229896247e-05
28,3,0.025633294135332108,0.020613884553313255,31.75760841369629,0.9533198475837708,0.02441910095512867,0.020952198654413223,31.96831512451172,0.9578760266304016,8.807860467641149e-06
29,3,0.02556598000228405,0.020543046295642853,31.783370971679688,0.9534012079238892,0.024393286556005478,0.020849304273724556,32.00657272338867,0.9575919508934021,7.37073969503399e-06
30,3,0.025629771873354912,0.020621027797460556,31.75413703918457,0.953333854675293,0.024367501959204674,0.02080962061882019,32.025794982910156,0.9575992822647095,6.042816494300496e-06
31,3,0.025552712380886078,0.020527798682451248,31.780494689941406,0.9534345269203186,0.02448895387351513,0.02098766155540943,31.95374870300293,0.9575761556625366,4.8322822294721846e-06
32,3,0.025484414771199226,0.020442036911845207,31.81843376159668,0.953473687171936,0.024425016716122627,0.020940065383911133,31.97106170654297,0.9577769041061401,3.746625452549779e-06
