epoch,stage,loss,mae_metric,psnr_metric,ssim_metric,val_loss,val_mae_metric,val_psnr_metric,val_ssim_metric,lr
21,1,7.294246196746826,0.02977357618510723,28.992284774780273,0.9199246764183044,6.487253189086914,0.025950023904442787,30.169809341430664,0.9519267082214355,0.00020017795031890273
22,1,7.262667655944824,0.029335618019104004,29.10749053955078,0.920292854309082,6.531322956085205,0.02751939557492733,29.79625129699707,0.949527382850647,0.00040035590063780546
23,1,7.292099952697754,0.029581435024738312,29.036178588867188,0.9204718470573425,6.504521369934082,0.025483544915914536,30.3438720703125,0.9498559832572937,0.0006005337927490473
24,1,7.354976177215576,0.030238885432481766,28.87442970275879,0.9197301268577576,6.550576686859131,0.03174374997615814,28.86890983581543,0.9479877948760986,0.0008007118012756109
25,1,7.392945766448975,0.03026047721505165,28.839876174926758,0.9196723103523254,6.94968318939209,0.027876678854227066,29.46873664855957,0.9498753547668457,0.0010000000474974513
26,1,7.397066593170166,0.030468743294477463,28.80852699279785,0.919754147529602,7.696832180023193,0.03992781415581703,26.982450485229492,0.9276848435401917,0.0009991759434342384
27,1,7.346622943878174,0.02999512478709221,28.93352699279785,0.920152485370636,6.793414115905762,0.02768467180430889,29.546001434326172,0.9500558972358704,0.000996720977127552
28,1,7.301964282989502,0.02950051613152027,29.049715042114258,0.920842707157135,6.402430534362793,0.025705469772219658,30.275527954101562,0.9536064267158508,0.0009926430648192763
29,1,7.256299018859863,0.029154008254408836,29.169342041015625,0.9213419556617737,6.464532375335693,0.024641521275043488,30.505958557128906,0.9538904428482056,0.0009869554778560996
30,1,7.2141876220703125,0.028682522475719452,29.278566360473633,0.92218416929245,6.887786865234375,0.026176458224654198,29.95289421081543,0.9516909718513489,0.0009796768426895142
31,1,7.189210414886475,0.028622504323720932,29.311180114746094,0.92241370677948,6.601197719573975,0.027494022622704506,29.801931381225586,0.9528377652168274,0.0009708311408758163
32,1,7.152031898498535,0.028216397389769554,29.411775588989258,0.9229158759117126,6.4923601150512695,0.02555656246840954,30.405210494995117,0.9496350884437561,0.0009604470105841756
33,1,7.100216388702393,0.027688762173056602,29.552011489868164,0.9234174489974976,6.365420341491699,0.02604089304804802,30.24765396118164,0.9556034207344055,0.0009485585615038872
34,1,7.0549187660217285,0.027296628803014755,29.665979385375977,0.9239177107810974,6.235353469848633,0.023940537124872208,30.869966506958008,0.9533727765083313,0.0009352045599371195
35,1,7.0120625495910645,0.026875479146838188,29.791860580444336,0.9250352382659912,6.163130760192871,0.02273549512028694,31.22743034362793,0.9534353613853455,0.0009204286034218967
